archivo,fecha_hora,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
p10_fila_099.html,2025-06-20 07:15:00,5,10,15,16,17,20,23,27,30,48,50,51,54,55,58,63,67,74,84,90
p10_fila_098.html,2025-06-20 07:20:00,9,11,23,29,43,50,51,57,60,64,67,68,73,74,77,78,80,81,88,90
p10_fila_097.html,2025-06-20 07:25:00,2,11,19,26,27,32,33,35,38,42,50,54,56,57,58,62,64,73,77,78
p10_fila_096.html,2025-06-20 07:30:00,1,6,7,11,15,18,20,25,27,33,35,45,52,59,62,63,69,81,85,90
p10_fila_095.html,2025-06-20 07:35:00,1,7,15,18,19,23,24,29,34,38,45,49,51,53,63,70,71,75,80,90
p10_fila_094.html,2025-06-20 07:40:00,1,2,6,11,14,20,27,28,29,32,46,47,54,55,56,61,65,67,69,88
p10_fila_093.html,2025-06-20 07:45:00,12,13,15,19,20,25,26,32,35,42,46,47,48,49,56,67,69,74,76,77
p10_fila_092.html,2025-06-20 07:50:00,1,3,4,6,13,20,30,33,34,35,37,38,41,45,53,54,60,75,81,90
p10_fila_091.html,2025-06-20 07:55:00,8,13,29,36,44,48,49,51,54,55,58,60,61,63,65,66,69,75,80,82
p10_fila_090.html,2025-06-20 08:00:00,2,6,19,24,43,56,58,59,60,61,62,63,67,68,69,70,71,73,76,79
p10_fila_089.html,2025-06-20 08:05:00,1,2,4,5,7,12,20,25,30,33,36,42,51,56,61,64,66,69,71,75
p10_fila_088.html,2025-06-20 08:10:00,1,3,9,18,19,21,23,30,45,47,58,62,65,68,70,71,74,78,83,86
p10_fila_087.html,2025-06-20 08:15:00,5,7,13,18,21,24,29,32,34,58,64,68,70,74,76,78,79,81,86,88
p10_fila_086.html,2025-06-20 08:20:00,3,4,5,9,12,17,28,29,32,39,46,47,50,51,55,61,65,70,83,84
p10_fila_085.html,2025-06-20 08:25:00,6,14,16,19,21,24,29,31,32,36,44,48,60,61,73,74,75,81,82,89
p10_fila_084.html,2025-06-20 08:30:00,1,2,4,6,14,15,19,20,24,29,33,42,47,50,51,60,64,71,82,87
p10_fila_083.html,2025-06-20 08:35:00,1,2,4,5,10,14,16,24,25,32,40,41,43,57,67,69,72,74,87,89
p10_fila_082.html,2025-06-20 08:40:00,4,8,17,20,21,27,29,30,36,40,57,59,60,64,68,82,87,88,89,90
p10_fila_081.html,2025-06-20 08:45:00,3,5,10,14,16,19,28,34,45,47,49,50,53,60,61,62,64,66,75,83
p10_fila_080.html,2025-06-20 08:50:00,1,2,4,5,8,9,16,23,29,32,36,43,47,51,55,61,67,71,75,77
p10_fila_079.html,2025-06-20 08:55:00,1,3,15,19,22,23,28,35,39,48,58,61,66,68,72,80,81,84,87,88
p10_fila_078.html,2025-06-20 09:00:00,6,7,8,9,13,15,19,29,31,34,45,47,48,54,58,66,68,83,85,90
p10_fila_077.html,2025-06-20 09:05:00,4,6,16,20,25,33,35,39,41,42,45,49,53,67,68,75,78,82,83,88
p10_fila_076.html,2025-06-20 09:10:00,2,3,8,9,11,15,18,23,28,35,43,49,50,59,65,66,76,81,86,90
p10_fila_075.html,2025-06-20 09:15:00,3,6,7,10,15,18,27,35,37,41,53,55,56,68,72,74,76,83,86,87
p10_fila_074.html,2025-06-20 09:20:00,2,4,6,8,10,18,20,23,24,27,34,42,56,59,61,62,74,76,87,89
p10_fila_073.html,2025-06-20 09:25:00,8,16,19,21,27,29,33,41,43,45,48,52,60,67,68,73,83,85,88,90
p10_fila_072.html,2025-06-20 09:30:00,10,12,14,17,23,25,26,27,29,31,34,36,38,39,41,47,59,70,76,85
p10_fila_071.html,2025-06-20 09:35:00,2,5,9,11,12,14,18,20,29,32,40,49,53,57,61,64,71,76,79,81
p10_fila_070.html,2025-06-20 09:40:00,2,3,5,7,17,22,32,33,36,39,47,51,56,62,65,66,72,75,79,85
p10_fila_069.html,2025-06-20 09:45:00,1,6,7,14,18,23,28,29,35,37,42,52,58,68,72,75,77,85,87,88
p10_fila_068.html,2025-06-20 09:50:00,1,3,4,5,6,22,23,29,31,33,34,36,46,52,63,69,71,72,74,80
p10_fila_067.html,2025-06-20 09:55:00,7,16,21,23,32,34,40,43,51,57,63,66,71,74,76,77,79,80,86,87
p10_fila_066.html,2025-06-20 10:00:00,4,5,9,11,21,23,31,36,42,47,48,50,60,65,74,80,81,83,85,88
p10_fila_065.html,2025-06-20 10:05:00,3,5,6,9,11,17,23,28,29,35,55,56,57,63,64,75,76,80,86,90
p10_fila_064.html,2025-06-20 10:10:00,5,7,11,12,15,29,35,48,54,56,57,58,60,63,69,70,78,80,81,87
p10_fila_063.html,2025-06-20 10:15:00,7,13,14,16,17,20,21,23,26,39,42,60,61,67,71,73,80,84,85,88
p10_fila_062.html,2025-06-20 10:20:00,3,4,11,12,15,17,22,32,38,52,54,55,57,60,64,75,76,78,81,88
p10_fila_061.html,2025-06-20 10:25:00,2,9,12,24,28,29,34,36,38,41,45,50,54,55,59,60,76,78,84,87
p10_fila_060.html,2025-06-20 10:30:00,4,5,7,8,17,20,24,27,28,33,48,57,59,61,64,71,74,79,83,85
p10_fila_059.html,2025-06-20 10:35:00,2,8,10,12,18,26,37,38,39,41,44,46,52,53,56,65,67,71,77,84
p10_fila_058.html,2025-06-20 10:40:00,2,3,6,17,23,24,25,31,37,40,42,46,48,49,50,57,68,70,79,84
p10_fila_057.html,2025-06-20 10:45:00,7,11,14,17,23,29,46,53,55,57,62,64,67,70,73,74,78,79,86,88
p10_fila_056.html,2025-06-20 10:50:00,2,7,17,19,20,32,35,42,43,47,50,52,56,67,71,76,78,80,84,90
p10_fila_055.html,2025-06-20 10:55:00,1,4,13,15,18,22,25,26,28,31,49,58,68,69,72,79,81,82,88,90
p10_fila_054.html,2025-06-20 11:00:00,1,14,15,17,20,21,26,33,36,48,53,60,67,70,71,72,73,76,80,82
p10_fila_053.html,2025-06-20 11:05:00,1,6,8,9,20,25,41,46,48,53,56,57,61,66,68,71,75,79,83,90
p10_fila_052.html,2025-06-20 11:10:00,4,8,10,18,20,25,30,33,35,36,38,50,51,66,67,70,87,88,89,90
p10_fila_051.html,2025-06-20 11:15:00,2,6,10,14,19,23,25,31,36,41,46,56,59,61,67,71,73,74,81,90
p10_fila_050.html,2025-06-20 11:20:00,2,3,11,12,17,21,24,28,32,38,47,48,51,52,55,56,58,62,78,89
p10_fila_049.html,2025-06-20 11:25:00,2,4,6,7,13,16,25,32,33,37,43,44,55,66,67,70,74,78,80,88
p10_fila_048.html,2025-06-20 11:30:00,2,3,14,15,19,21,24,26,30,33,39,45,46,49,59,61,62,64,71,79
